time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-09T02:37:45.740Z,30.7584,-103.6691,5,2.7,ml,,118,0.337,0.69,us,us2000dwqe,2018-04-10T02:32:40.040Z,"28km NE of Fort Davis, Texas",earthquake,1.8,1.9,0.128,20,reviewed,us,us
2018-04-09T02:37:17.660Z,37.3236667,-113.9741667,6.88,2.75,ml,16,84,0.1665,0.13,uu,uu60276882,2018-04-10T02:27:24.040Z,"31km WNW of Ivins, Utah",earthquake,0.42,0.75,0.259,6,reviewed,uu,uu
2018-04-08T22:26:24.320Z,36.2975,-97.5332,5,3.2,mb_lg,,41,0.21,0.2,us,us2000dwn4,2018-04-09T12:59:18.125Z,"22km W of Perry, Oklahoma",earthquake,0.6,1.9,0.045,130,reviewed,us,us
2018-04-08T20:20:24.700Z,36.2896,-97.5201,5.12,2.6,mb_lg,,25,0.211,0.11,us,us2000dwky,2018-04-08T20:43:11.040Z,"20km W of Perry, Oklahoma",earthquake,1,1,0.084,37,reviewed,us,us
2018-04-08T16:48:27.170Z,39.4848333,-123.1155,3.67,2.84,md,35,38,0.09433,0.08,nc,nc72997031,2018-04-10T04:52:02.646Z,"16km WNW of Lake Pillsbury, CA",earthquake,0.13,0.67,0.213,62,reviewed,nc,nc
2018-04-08T11:36:16.322Z,39.3322,-119.9574,9.4,2.6,ml,43,21.56,0.073,0.1893,nn,nn00629667,2018-04-12T11:20:10.522Z,"9km N of Incline Village, Nevada",earthquake,,0.8,0.18,13,reviewed,nn,nn
2018-04-08T11:22:53.310Z,33.8525,-119.7351667,14.97,2.6,ml,47,128,0.1651,0.22,ci,ci37910879,2018-04-09T22:01:15.608Z,"28km SW of Santa Cruz Is. (E end), CA",earthquake,0.33,0.57,0.209,25,reviewed,ci,ci
2018-04-08T07:25:32.870Z,37.1975,-97.774,4.51,3.3,mb_lg,,76,0.045,0.09,us,us2000dwcj,2018-04-10T01:16:32.003Z,"23km ENE of Anthony, Kansas",earthquake,1.7,2.5,0.044,135,reviewed,us,us
2018-04-08T03:32:28.370Z,36.2949,-97.5204,5.52,2.5,mb_lg,,63,0.215,0.16,us,us2000dx6b,2018-04-09T22:42:53.040Z,"20km W of Perry, Oklahoma",earthquake,0.8,6.2,0.088,34,reviewed,us,us
2018-04-08T02:37:41.389Z,40.7885,-115.9622,1.1,3,ml,12,138.76,0.315,0.1507,nn,nn00629607,2018-04-09T02:04:07.953Z,"9km ENE of Carlin, Nevada",earthquake,,4.7,0.33,9,reviewed,nn,nn
2018-04-07T20:05:21.740Z,30.752,-103.5954,16.49,2.7,ml,,86,0.286,0.68,us,us2000dw58,2018-04-07T20:22:03.040Z,"33km ENE of Fort Davis, Texas",earthquake,3.8,8.4,0.128,22,reviewed,us,us
2018-04-07T19:37:56.470Z,36.2938,-97.5423,5.53,2.5,mb_lg,,39,0.203,0.26,us,us2000dw4y,2018-04-08T03:20:40.040Z,"22km W of Perry, Oklahoma",earthquake,0.9,2.7,0.078,43,reviewed,us,us
2018-04-07T16:21:22.010Z,35.6717,-97.4076,6.31,3.1,mb_lg,,38,0.035,0.16,us,us2000dw3h,2018-04-09T17:09:21.193Z,"6km ENE of Edmond, Oklahoma",earthquake,0.7,3.5,0.049,109,reviewed,us,us
2018-04-07T13:50:14.910Z,40.4109993,-124.9281693,0.96,3.38,ml,33,268,0.4554,0.29,nc,nc72996581,2018-04-07T23:08:30.635Z,"55km W of Petrolia, CA",earthquake,4.05,7.75,0.333,9,automatic,nc,nc
2018-04-07T12:16:01.860Z,36.2911,-97.5233,5,4.6,mwr,,49,0.21,0.15,us,us2000dw0r,2018-04-12T14:11:31.744Z,"21km W of Perry, Oklahoma",earthquake,1.4,0.5,0.037,70,reviewed,us,us
2018-04-07T11:00:03.100Z,36.2223,-97.5733,4.73,2.5,mb_lg,,46,0.133,0.4,us,us2000dvzp,2018-04-07T13:54:01.709Z,"26km WSW of Perry, Oklahoma",earthquake,1.5,2.8,0.096,28,reviewed,us,us
2018-04-07T10:13:42.870Z,36.2192,-97.5772,3.9,2.5,mb_lg,,59,0.129,0.11,us,us2000dvzc,2018-04-07T18:16:22.581Z,"27km WSW of Perry, Oklahoma",earthquake,1,3,0.193,7,reviewed,us,us
2018-04-07T09:48:03.430Z,36.2129,-97.575,4.98,3,mb_lg,,47,0.126,0.12,us,us2000dvz7,2018-04-08T02:55:54.700Z,"27km WSW of Perry, Oklahoma",earthquake,1.2,2.4,0.05,103,reviewed,us,us
2018-04-07T09:40:44.050Z,44.7583333,-111.1176667,10.18,2.68,ml,21,56,0.03866,0.1,uu,uu60276677,2018-04-08T22:57:30.050Z,"10km N of West Yellowstone, Montana",earthquake,0.29,0.53,0.176,4,reviewed,uu,uu
2018-04-07T07:37:15.640Z,38.8265,-122.7676667,0.76,3.49,mw,85,36,0.004336,0.07,nc,nc72996311,2018-04-10T08:58:32.385Z,"4km W of Cobb, CA",earthquake,0.07,0.11,,3,reviewed,nc,nc
2018-04-07T07:22:58.450Z,42.5889,-111.4449,5.82,3.4,ml,,57,0.135,0.4,us,us2000dvxy,2018-04-09T14:39:18.020Z,"14km ESE of Soda Springs, Idaho",earthquake,1.6,5,0.041,78,reviewed,us,us
2018-04-07T07:01:52.750Z,39.8232,-107.3768,2.68,2.7,ml,,45,0.716,1.09,us,us2000dvxu,2018-04-10T00:01:51.556Z,"30km N of Glenwood Springs, Colorado",earthquake,1.8,5.4,0.05,52,reviewed,us,us
2018-04-07T04:46:28.900Z,36.7412,-98.3703,8.948,2.5,ml,,91,,0.3,us,us2000dvwc,2018-04-09T22:02:22.040Z,"1km SW of Cherokee, Oklahoma",earthquake,1,8.2,,,reviewed,tul,tul
2018-04-06T17:51:23.210Z,36.059166,-120.19767,9.34,2.51,md,43,72,0.171,0.1,nc,nc72996141,2018-04-06T22:04:53.146Z,"9km NW of Avenal, CA",earthquake,0.35,0.71,0.23,27,automatic,nc,nc
2018-04-06T16:35:18.630Z,36.2954,-97.5219,6.53,2.5,mb_lg,,27,0.214,0.2,us,us2000dvn8,2018-04-07T12:39:21.479Z,"21km W of Perry, Oklahoma",earthquake,1.3,2.9,0.095,29,reviewed,us,us
2018-04-06T15:21:31.270Z,36.2838,-97.5255,5.47,2.7,mb_lg,,43,0.204,0.12,us,us2000dvly,2018-04-06T16:13:38.218Z,"21km W of Perry, Oklahoma",earthquake,0.7,3.1,0.077,44,reviewed,us,us
2018-04-06T15:07:12.840Z,36.2787,-97.5061,5.59,3.7,mb,,31,0.211,0.17,us,us2000dvlb,2018-04-09T00:57:53.040Z,"19km W of Perry, Oklahoma",earthquake,0.7,4,0.16,10,reviewed,us,us
2018-04-06T15:05:26.270Z,36.2878,-97.5211,5.72,3.1,mb_lg,,33,0.209,0.2,us,us2000dvl9,2018-04-06T15:30:39.040Z,"20km W of Perry, Oklahoma",earthquake,0.4,3.4,0.051,100,reviewed,us,us
2018-04-06T00:48:56.670Z,34.6788333,-119.9998333,2.13,2.53,ml,32,49,0.05032,0.16,ci,ci37908959,2018-04-06T17:05:39.980Z,"10km NE of Santa Ynez, CA",earthquake,0.2,0.38,0.146,25,reviewed,ci,ci
2018-04-05T22:19:52.910Z,41.4778,-77.3842,0,2.6,mb_lg,,27,0.238,0.51,us,us2000dv94,2018-04-10T21:59:13.117Z,"30km SSW of Wellsboro, Pennsylvania",mining explosion,2,2,0.088,34,reviewed,us,us
2018-04-05T20:39:41.010Z,35.520668,-120.072998,12.85,2.68,md,46,115,0.05305,0.1,nc,nc72995851,2018-04-06T19:32:28.721Z,"20km NNW of Simmler, CA",earthquake,0.29,0.57,0.2,31,automatic,nc,nc
2018-04-05T20:22:41.350Z,35.5256667,-120.0695,12.2,2.93,ml,68,71,0.05277,0.08,nc,nc72995846,2018-04-06T19:44:46.062Z,"20km NNW of Simmler, CA",earthquake,0.24,0.36,0.133,13,reviewed,nc,nc
2018-04-05T19:34:50.910Z,33.8306667,-119.728,9.79,2.58,ml,20,129,0.1816,0.31,ci,ci37184060,2018-04-11T23:15:18.010Z,"30km SW of Santa Cruz Is. (E end), CA",earthquake,0.56,31.61,0.111,12,reviewed,ci,ci
2018-04-05T19:29:16.500Z,33.8375,-119.7258333,9.87,5.31,mw,90,129,0.1747,0.31,ci,ci37908735,2018-04-12T21:21:28.848Z,"29km SW of Santa Cruz Is. (E end), CA",earthquake,0.28,31.61,,6,reviewed,ci,ci
2018-04-05T13:22:31.020Z,44.7585,-111.1235,11.27,2.52,ml,26,53,0.03957,0.19,uu,uu60276377,2018-04-09T17:10:43.040Z,"10km N of West Yellowstone, Montana",earthquake,0.36,0.42,0.16,5,reviewed,uu,uu
2018-04-05T08:51:40.850Z,36.4627,-96.8629,5.15,3.2,mb_lg,,64,0.08,0.18,us,us2000duvg,2018-04-06T03:23:12.229Z,"14km NNW of Pawnee, Oklahoma",earthquake,0.8,5.7,0.046,122,reviewed,us,us
2018-04-05T05:20:08.060Z,38.7161667,-119.6096667,-1.76,2.82,md,54,108,0.2506,0.15,nc,nc72995506,2018-04-10T05:07:02.644Z,"16km E of Markleeville, CA",earthquake,0.23,0.83,0.254,64,reviewed,nc,nc
2018-04-05T04:11:50.800Z,36.6478333,-121.2615,3.16,2.91,ml,65,70,0.05648,0.08,nc,nc72995461,2018-04-06T00:19:02.354Z,"17km SSE of Tres Pinos, CA",earthquake,0.11,0.59,0.154,26,reviewed,nc,nc
2018-04-05T03:23:31.670Z,36.6508333,-121.2663333,3.38,2.82,ml,70,59,0.0557,0.09,nc,nc72995381,2018-04-10T04:37:02.566Z,"16km SSE of Tres Pinos, CA",earthquake,0.13,0.7,0.172,27,reviewed,nc,nc
2018-04-05T00:23:14.970Z,32.6268333,-115.7458333,10.53,3.11,ml,75,78,0.0278,0.29,ci,ci37907887,2018-04-10T03:20:54.346Z,"16km WNW of Progreso, B.C., MX",earthquake,0.28,0.5,0.205,18,reviewed,ci,ci
2018-04-04T18:17:12.700Z,36.4665,-96.8674,4.5,3.6,ml,,38,,0.33,us,us1000de9d,2018-04-06T15:29:58.553Z,"15km NNW of Pawnee, Oklahoma",earthquake,0.9,2.6,,,reviewed,tul,tul
2018-04-04T00:16:52.930Z,38.2929,-118.513,9.2,3,ml,29,46.4,0.042,0.1436,nn,nn00628994,2018-04-04T14:00:01.348Z,"27km SSE of Hawthorne, Nevada",earthquake,,0.7,0.41,11,reviewed,nn,nn
2018-04-03T20:26:38.720Z,38.417,-111.6611667,8.07,3.45,ml,30,72,0.3618,0.24,uu,uu60276212,2018-04-04T19:43:38.115Z,"2km NW of Loa, Utah",earthquake,0.44,1.17,0.091,21,reviewed,uu,uu
2018-04-03T15:29:38.530Z,35.1106667,-116.6195,9.24,2.84,ml,36,94,0.04506,0.16,ci,ci37906175,2018-04-05T20:25:03.353Z,"18km SSE of Fort Irwin, CA",earthquake,0.18,0.38,0.194,26,reviewed,ci,ci
2018-04-03T15:23:16.600Z,36.4638,-96.8688,4.329,2.8,ml,,45,,0.38,us,us1000ddnl,2018-04-08T14:06:30.793Z,"15km NNW of Pawnee, Oklahoma",earthquake,1.6,4.9,,,reviewed,tul,tul
2018-04-03T12:48:47.700Z,36.412,-96.8659,5,2.6,ml,,41,,0.38,us,us1000ddlf,2018-04-06T14:35:32.153Z,"9km NW of Pawnee, Oklahoma",earthquake,1.2,1,,,reviewed,tul,tul
2018-04-03T10:58:16.300Z,34.505,-120.573,3.55,2.66,ml,27,185,0.07525,0.27,ci,ci37906015,2018-04-06T21:18:12.703Z,"18km SW of Lompoc, CA",earthquake,0.86,0.55,0.13,43,reviewed,ci,ci
2018-04-03T08:31:20.400Z,36.4903,-96.8781,8.93,2.6,mb_lg,,108,0.086,0.43,us,us1000ddit,2018-04-03T14:14:58.254Z,"18km NNW of Pawnee, Oklahoma",earthquake,1.4,2.8,0.17,9,reviewed,us,us
2018-04-03T08:07:00.900Z,36.0897,-97.556,4.75,2.6,mb_lg,,28,0.12,0.52,us,us1000ddik,2018-04-03T08:15:24.040Z,"15km NNE of Crescent, Oklahoma",earthquake,1.5,7.5,0.063,65,reviewed,us,us
2018-04-03T06:33:08.800Z,40.6061667,-122.3055,16.05,2.52,md,23,39,0.06696,0.06,nc,nc72994000,2018-04-12T05:42:03.605Z,"6km ENE of Redding, CA",earthquake,0.26,0.41,0.166,49,reviewed,nc,nc
2018-04-03T03:12:05.300Z,36.4652,-98.7956,10.27,2.7,mb_lg,,133,0.045,0.35,us,us1000ddg1,2018-04-03T06:17:57.461Z,"35km NW of Fairview, Oklahoma",earthquake,1.3,1.7,0.053,92,reviewed,us,us
2018-04-02T21:26:43.080Z,38.8158333,-122.7988333,3.24,2.7,md,73,29,0.008324,0.05,nc,nc72993795,2018-04-12T04:57:04.352Z,"6km NW of The Geysers, CA",earthquake,0.12,0.16,0.207,52,reviewed,nc,nc
2018-04-02T11:03:06.800Z,35.3527,-97.8532,5.906,2.6,ml,,26,,0.38,us,us1000dcde,2018-04-08T09:13:29.442Z,"7km NNW of Tuttle, Oklahoma",earthquake,0.9,2.9,,,reviewed,tul,tul
2018-04-02T04:17:55.920Z,36.07,-83.6535,19.82,2.54,md,19,63,,0.12,se,se60222081,2018-04-02T12:12:54.550Z,"8km E of Mascot, Tennessee",earthquake,0.47,0.91,0.115,11,reviewed,se,se
2018-04-02T02:53:54.670Z,33.4925,-116.8045,2.91,3.37,mw,158,27,0.09185,0.24,ci,ci37904927,2018-04-09T17:41:50.556Z,"8km NE of Aguanga, CA",earthquake,0.1,0.46,,4,reviewed,ci,ci
2018-04-01T16:49:33.800Z,37.0835,-97.8592,9.13,2.7,ml,,103,0.027,0.5,us,us1000dc51,2018-04-10T14:02:19.040Z,"17km ESE of Anthony, Kansas",earthquake,2.1,4.5,0.166,16,reviewed,ismp,ismp
2018-04-01T11:40:30.760Z,35.5414,-96.7754,5,2.6,mb_lg,,96,0.111,0.31,us,us1000dc3l,2018-04-03T02:49:33.975Z,"10km NW of Prague, Oklahoma",earthquake,1.3,1.9,0.154,11,reviewed,us,us
2018-04-01T10:46:57.490Z,36.857,-121.5908333,6.06,2.6,md,67,36,0.001195,0.1,nc,nc72992835,2018-04-05T20:33:05.107Z,"5km WNW of San Juan Bautista, CA",earthquake,0.15,0.26,0.139,82,reviewed,nc,nc
2018-04-01T04:42:04.600Z,36.087,-97.5452,6.36,2.6,ml,,23,,0.29,us,us1000dc1i,2018-04-12T03:21:36.040Z,"15km NNE of Crescent, Oklahoma",earthquake,1.1,3.4,,,reviewed,tul,tul
2018-04-01T01:34:49.700Z,35.378,-98.092,7.15,3.1,ml,,40,,0.64,us,us1000dc0b,2018-04-08T05:47:37.612Z,"13km W of Union City, Oklahoma",earthquake,4.9,5,,,reviewed,tul,tul
2018-03-31T18:13:38.290Z,35.4012,-98.0814,5,2.5,mb_lg,,48,0.183,0.44,us,us1000dbx3,2018-04-01T13:29:28.040Z,"12km W of Union City, Oklahoma",earthquake,1.9,2,0.085,36,reviewed,us,us
2018-03-31T15:07:31.240Z,36.8606667,-121.5925,6.44,2.8,md,69,37,0.003139,0.08,nc,nc72992335,2018-04-10T23:57:04.028Z,"5km WNW of San Juan Bautista, CA",earthquake,0.12,0.21,0.157,98,reviewed,nc,nc
2018-03-31T14:33:39.330Z,36.8596667,-121.5915,6.24,3.02,ml,92,35,0.002196,0.1,nc,nc72992330,2018-04-06T05:20:51.969Z,"5km WNW of San Juan Bautista, CA",earthquake,0.11,0.22,0.192,35,reviewed,nc,nc
2018-03-31T09:05:53.260Z,37.0586662,-121.4899979,4.3,2.65,md,60,43,0.03352,0.05,nc,nc72992195,2018-04-04T17:09:40.452Z,"9km NE of Gilroy, CA",earthquake,0.13,0.36,0.13,70,automatic,nc,nc
2018-03-31T04:16:17.100Z,35.976,-97.2004,6.649,2.5,ml,,43,,0.26,us,us1000dbt3,2018-04-12T03:28:16.653Z,"6km NE of Langston, Oklahoma",earthquake,0.7,2.9,,,reviewed,tul,tul
2018-03-30T16:24:55.600Z,35.3824,-98.0973,11.535,2.5,ml,,38,,0.3,us,us1000dbgi,2018-04-01T01:50:09.106Z,"14km W of Union City, Oklahoma",earthquake,1.5,8,,,reviewed,tul,tul
2018-03-30T15:05:39.740Z,37.9803333,-122.0516667,14.89,2.79,md,121,26,0.02427,0.16,nc,nc72991830,2018-04-01T00:01:37.787Z,"2km E of Pacheco, CA",earthquake,0.17,0.27,0.171,93,reviewed,nc,nc
2018-03-29T05:52:21.644Z,41.8273,-119.6444,6.2,2.5,ml,7,145.06,0.663,,nn,nn00628167,2018-04-03T16:09:57.161Z,"70km SE of Lakeview, Oregon",earthquake,,,,,reviewed,nn,nn
2018-03-29T00:01:17.730Z,38.415,-111.6535,17.34,2.64,ml,22,72,0.3558,0.19,uu,uu60275507,2018-04-03T07:28:59.502Z,"1km NW of Loa, Utah",earthquake,0.43,1.08,0.146,16,reviewed,uu,uu
2018-03-27T22:54:41.190Z,40.5138333,-123.9008333,20.32,2.55,md,24,63,0.1066,0.11,nc,nc72990650,2018-03-30T05:01:18.844Z,"17km ESE of Hydesville, CA",earthquake,0.29,0.41,0.136,34,reviewed,nc,nc
2018-03-27T19:23:58.500Z,36.9185,-97.6468,5.274,2.6,ml,,49,,0.3,us,us1000d9rl,2018-04-02T17:58:28.554Z,"13km SSW of Caldwell, Kansas",earthquake,1.4,6.2,,,reviewed,tul,tul
2018-03-27T16:27:07.140Z,38.21,-121.8161667,22.86,2.61,md,47,155,0.05583,0.2,nc,nc72990716,2018-03-30T01:07:04.147Z,"12km WNW of Rio Vista, CA",earthquake,0.3,0.4,0.143,52,reviewed,nc,nc
2018-03-26T22:22:06.270Z,37.8363333,-121.9613333,8.68,2.74,md,130,65,0.009662,0.1,nc,nc72990340,2018-03-31T06:06:07.250Z,"0km WNW of Diablo, CA",earthquake,0.1,0.13,0.166,85,reviewed,nc,nc
2018-03-26T21:03:02.100Z,36.6555,-99.0188,5.656,2.5,ml,,155,,0.3,us,us1000d9lw,2018-04-12T04:31:00.827Z,"29km NE of Mooreland, Oklahoma",earthquake,1.8,2.2,,,reviewed,tul,tul
2018-03-26T17:14:58.700Z,36.0973,-99.0952,5,2.6,ml,,222,,0.85,us,us1000d96q,2018-03-28T16:49:49.040Z,"13km WNW of Taloga, Oklahoma",earthquake,2.5,6.6,,,reviewed,tul,tul
2018-03-26T06:52:31.660Z,36.004,-120.883,9.63,2.84,md,85,46,0.02143,0.09,nc,nc72990286,2018-03-30T00:23:02.907Z,"3km SE of San Ardo, CA",earthquake,0.14,0.36,0.135,95,reviewed,nc,nc
2018-03-26T02:08:30.400Z,36.4817,-97.7555,7.971,2.6,ml,,34,,0.3,us,us1000d90v,2018-03-30T04:47:15.072Z,"14km NE of Enid, Oklahoma",earthquake,0.9,4.8,,,reviewed,tul,tul
2018-03-26T01:54:33.200Z,36.4842,-97.7571,5.613,2.5,ml,,35,,0.21,us,us1000d90s,2018-03-30T04:50:57.262Z,"14km NE of Enid, Oklahoma",earthquake,1,3.4,,,reviewed,tul,tul
2018-03-25T18:59:33.780Z,38.8023333,-122.7773333,1.74,2.98,ml,80,26,0.01122,0.08,nc,nc72990036,2018-03-27T00:02:00.198Z,"3km NNW of The Geysers, CA",earthquake,0.12,0.18,0.189,31,reviewed,nc,nc
2018-03-25T00:51:49.050Z,36.4151667,-120.9865,6.62,2.98,md,88,59,0.02797,0.08,nc,nc72989766,2018-03-27T20:15:03.901Z,"19km SE of Pinnacles, CA",earthquake,0.13,0.3,0.168,104,reviewed,nc,nc
2018-03-24T22:14:48.730Z,41.1828333,-121.914,10.06,2.61,md,28,60,0.165,0.16,nc,nc72989721,2018-03-27T16:02:03.914Z,"18km N of Big Bend, CA",earthquake,0.33,1.48,0.138,28,reviewed,nc,nc
2018-03-24T21:29:50.170Z,33.2616667,-116.1065,3.78,2.68,ml,83,25,0.1027,0.21,ci,ci37899655,2018-03-26T21:08:37.460Z,"13km N of Ocotillo Wells, CA",earthquake,0.14,0.64,0.174,25,reviewed,ci,ci
2018-03-24T17:07:56.690Z,36.84,-97.7004,5.45,2.8,mb_lg,,39,0.128,0.22,us,us1000d8mm,2018-03-30T15:21:05.702Z,"4km NE of Medford, Oklahoma",earthquake,1.1,1.3,0.066,59,reviewed,us,us
2018-03-24T16:06:10.750Z,36.4818,-97.7419,4.35,2.6,mb_lg,,39,0.196,0.16,us,us1000d8ly,2018-03-24T16:34:16.040Z,"15km NE of Enid, Oklahoma",earthquake,0.8,3.9,0.08,41,reviewed,us,us
2018-03-24T13:30:56.500Z,36.9775,-97.5001667,5.39,3.02,ml,13,79,0.03959,0.05,ismpkansas,ismpkansas70243763,2018-03-26T19:36:13.420Z,"11km ESE of Caldwell, Kansas",earthquake,0.21,0.37,0.143,19,reviewed,ismp,ismp
2018-03-24T13:30:56.250Z,36.9846,-97.5051,6.25,2.9,mb_lg,,48,0.035,0.2,us,us1000d8l4,2018-03-26T19:24:48.480Z,"10km ESE of Caldwell, Kansas",earthquake,1.7,2.7,0.073,49,reviewed,us,us
2018-03-24T11:30:58.400Z,36.7015,-97.673,7.99,2.5,ml,,50,,0.98,us,us1000d8kb,2018-04-01T05:50:02.040Z,"12km SSE of Medford, Oklahoma",earthquake,1.1,6.5,,,reviewed,tul,tul
